Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Warm Female,0.03400474,0.01926843,1.034589511,0.996245682,1.074409,0.2208376,0.1884331,1.022329411,0.985260577,1.060793,0.002221497,0.002505558,1.0288433,0.966161497,1.095592,0.004856786,0.002649866,1.032072699,0.997812213,1.067510
Warm Male,-0.02079235,0.02045663,0.979422321,0.940929234,1.019490,-0.576017443,0.1986007,0.944025836,0.907984944,0.981497,0.002436052,0.002661984,1.0316727,0.965023921,1.102925,-0.003249449,0.00283317,0.979100076,0.944390055,1.015086
Cold All,0.03563534,0.0159664,1.036277888,1.004350633,1.069220,0.08589005,0.0884399,1.008625996,0.991292913,1.026262,-0.003236499,0.00218187,0.959419191,0.908313276,1.013401,0.003969402,0.001834586,1.026136843,1.002431439,1.050403
Cold Female,-0.006769638,0.020999509,0.993253224,0.953201771,1.034988,-0.05313461,0.11590209,0.99470063,0.972358932,1.017556,-0.00147144,0.002835377,0.981341828,0.913960093,1.053691,0.001020539,0.002409922,1.006655554,0.976218443,1.038042
Cold Male,0.081193836,0.022788477,1.084581107,1.037203782,1.134123,0.23832778,0.12687516,1.024119048,0.998965782,1.049906,-0.005431378,0.003168407,0.932839948,0.861559954,1.010017,0.007056664,0.002630301,1.046936537,1.01243496,1.082614
Age 0-10 All,0.05019134,0.02719083,1.051472266,0.996902122,1.109030,0.1277449,0.1895672,1.012856432,0.975914127,1.051197,-0.005123837,0.003652051,0.936519333,0.854526496,1.026379,0.005514548,0.003381342,1.036494723,0.992792365,1.082121
Age 0-10 Female,0.05689579,0.03756174,1.058545494,0.98341387,1.139417,0.3318668,0.2551856,1.0337435,0.983311131,1.086762,-0.003687633,0.005005768,0.953894975,0.841317293,1.081537,0.008044529,0.004658555,1.053680674,0.992964315,1.118110
Age 0-10 Male,0.04716051,0.03428481,1.048290257,0.980161703,1.121154,-0.02499976,0.24409484,0.997503146,0.950903623,1.046386,-0.006231211,0.004632033,0.923338382,0.822038585,1.037121,0.003663532,0.004266676,1.02409875,0.969917275,1.081307
Age 11-60 All,-0.000872451,0.020198593,0.99912793,0.960345953,1.039476,-0.06395357,0.14557314,0.99362505,0.965675239,1.022384,0.004558144,0.00263651,1.060079858,0.992229825,1.132570,-0.001101051,0.002534238,0.992868718,0.961324725,1.025448
Age 11-60 Female,0.01717215,0.02642571,1.017320439,0.965970251,1.071400,-0.06724624,0.19295368,0.993297936,0.956433951,1.031583,0.007153855,0.00346588,1.095892768,1.004628023,1.195448,0.001754053,0.003289545,1.011466588,0.969953197,1.054757
Age 11-60 Male,-0.02376457,0.02977396,0.976515584,0.921160002,1.035198,-0.05868472,0.21125111,0.994148714,0.95382631,1.036176,0.001421472,0.003864236,1.018361376,0.924269936,1.122031,-0.004851251,0.003774007,0.968958853,0.923472756,1.016685
Age 60+All,0.000404616,0.031891646,1.000404698,0.939786075,1.064933,-0.02162794,0.23620173,0.997839543,0.952697034,1.045121,-0.003023558,0.004265264,0.962037794,0.864409654,1.070692,0.001977986,0.003928805,1.012939914,0.963487209,1.064931
Age 60+ Female,-0.02980529,0.04296111,0.970634507,0.892249867,1.055905,-0.1548269,0.3184857,0.984636551,0.925051482,1.048060,-0.006987038,0.005689626,0.914448538,0.792807034,1.054754,-0.001780815,0.005326843,0.988491439,0.923634104,1.057903
Age 60+ Male,0.0374532,0.04655108,1.03816341,0.94763401,1.137341,0.1513718,0.3449482,1.015252327,0.948880256,1.086267,0.001378642,0.006282537,1.017803239,0.869384603,1.191559,0.006482531,0.005690358,1.043036793,0.970097488,1.121460
All: LAG 3,0.01230896,0.01507158,1.012385027,0.982916274,1.042737,0.09470586,0.10588503,1.009515574,0.988780533,1.030685,-0.003089248,0.002056543,0.961229222,0.912892704,1.012125,0.000582851,0.001847956,1.003795714,0.980439405,1.027708
Female,0.02033486,0.0197265,1.020543022,0.981837876,1.060774,0.116819,0.1384756,1.0117504,0.984659564,1.039587,-0.000482911,0.002700963,0.993837805,0.928724609,1.063516,0.001885657,0.002399293,1.012332193,0.981856391,1.043754
Male,0.003840808,0.02135672,1.003848193,0.962695263,1.046760,0.07235901,0.15020378,1.007262143,0.978040655,1.037357,-0.005804637,0.002907751,0.928393734,0.863079035,0.998651,-0.00085013,0.002640576,0.994489394,0.961590313,1.028514
Warm All,0.01879591,0.01459252,1.018973665,0.990242487,1.048538,0.33198626,0.14211586,1.03375585,1.005358222,1.062956,-0.003901203,0.00198568,0.951290877,0.90506172,0.999881,0.001662413,0.001966752,1.010864277,0.985850325,1.036513
Warm Female,0.0364953,0.01912861,1.037169429,0.999003721,1.076793,0.577474725,0.186266481,1.059447422,1.0214664,1.098841,-0.002515145,0.002608667,0.968318849,0.906975271,1.033811,0.003016184,0.002575306,1.01979864,0.986882591,1.053813
Warm Male,0.000665649,0.020171362,1.000665871,0.961875533,1.041021,0.08255937,0.19674928,1.008290111,0.970147728,1.047932,-0.005380668,0.002748225,0.93344564,0.871255487,1.000075,0.000272729,0.002723463,1.001774309,0.967611917,1.037143
Cold All,0.01112621,0.01626216,1.011188336,0.979466128,1.043938,0.007464122,0.086034599,1.000746691,0.984012805,1.017765,-0.002362058,0.002217438,0.970218144,0.917717723,1.025722,0.000902579,0.001834523,1.005884009,0.982647271,1.029670
Cold Female,0.003562714,0.021384326,1.003569068,0.962375507,1.046526,-0.0686958,0.113596,0.993153962,0.971285919,1.015514,0.002042177,0.002916769,1.026484508,0.954053018,1.104415,0.001219951,0.002389543,1.007961205,0.977738432,1.039118
Cold Male,0.01971291,0.02351075,1.019908492,0.973976444,1.068007,0.08895367,0.12381586,1.008935048,0.984745013,1.033719,-0.007012482,0.003200238,0.914150766,0.843624878,0.990573,0.000529176,0.002682057,1.003445567,0.969737602,1.038325
Age 0-10 All,0.01067378,0.02722116,1.010730948,0.958218264,1.066121,-0.01183437,0.18192347,0.998817263,0.963829915,1.035075,-0.009937152,0.003739667,0.880561466,0.801703603,0.967176,-2.50749E-05,0.003350818,0.999837026,0.95805278,1.043444
Age 0-10 Female,0.08241275,0.03696921,1.085903924,1.010002795,1.167509,0.2684043,0.2431979,1.027203879,0.979389012,1.077353,-0.009083836,0.005134145,0.890232067,0.782643074,1.012611,0.008720999,0.004464867,1.058323967,0.999804107,1.120269
Age 0-10 Male,-0.04813733,0.03470162,0.953002902,0.890339432,1.020077,-0.2618233,0.2352946,0.974157455,0.930251712,1.020135,-0.010470801,0.004758252,0.874567104,0.776156364,0.985456,-0.007521723,0.004333902,0.952284733,0.901130574,1.006343
Age 11-60 All,0.03511887,0.02001121,1.03574282,0.995905305,1.077174,0.25739207,0.1430653,1.026073321,0.997701055,1.055252,0.000934113,0.002719409,1.012028408,0.945285858,1.083483,0.004236196,0.002445904,1.027917873,0.996381021,1.060453
