Strata,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Age 11-60 Female,0.005999396,0.006853347,1.006017428,0.992594394,1.019622,0.07796097,0.06023389,1.007826566,0.995998283,1.019795,0.002105764,0.000776082,1.027320318,1.007511505,1.047519,0.001264649,0.000857512,1.008254097,0.997299169,1.019329
Age 11-60 Male,0.010851362,0.007217653,1.010910452,0.996710185,1.025313,0.11362037,0.06337061,1.01142683,0.998941958,1.024068,0.00033658,0.00082205,1.004317518,0.983817008,1.025245,0.001254197,0.000906985,1.008185601,0.996603074,1.019903
Age 60+All,-0.006728047,0.008534199,0.993294536,0.976817855,1.010049,-0.000917401,0.076255482,0.999908264,0.985074689,1.014965,0.000779359,0.000957074,1.010025719,0.986062758,1.034571,-0.00108055,0.001082471,0.993001033,0.979400866,1.006790
Age 60+ Female,-0.02143649,0.01102647,0.978791639,0.957865056,1.000175,-0.09679534,0.09885056,0.990367162,0.971363773,1.009742,0.000311553,0.001230126,1.003995841,0.973484357,1.035464,-0.002915909,0.001404274,0.981225078,0.963826616,0.998938
Age 60+ Male,0.0138325,0.01261696,1.013928612,0.989162413,1.039315,0.1323536,0.1122347,1.013323335,0.991275639,1.035861,0.001424739,0.00142641,1.018403963,0.982603974,1.055508,0.00146348,0.001591761,1.009558009,0.989291335,1.030240
All: LAG 3,0.008240801,0.004764138,1.00827485,0.998903692,1.017734,0.159974484,0.041472895,1.016126093,1.007899801,1.024420,-8.74744E-05,0.000543351,0.998880954,0.985357005,1.012591,0.000718495,0.000595626,1.00468114,0.997086196,1.012334
Female,0.00528815,0.005610165,1.005302157,0.994308485,1.016417,0.164382304,0.048818389,1.016574081,1.006893478,1.026348,-0.00013351,0.000637936,0.998292531,0.982442495,1.014398,0.000677774,0.000701172,1.00441525,0.995482833,1.013428
Male,0.011403786,0.005872079,1.011469057,0.999894517,1.023178,0.155374238,0.051201423,1.015658757,1.005517108,1.025903,-4.25804E-05,0.000671746,0.999455119,0.982752675,1.016441,0.000760985,0.000734355,1.004958656,0.995600426,1.014405
Warm All,0.006238522,0.005392237,1.006258022,0.9956791,1.016949,0.15550625,0.06218002,1.015672165,1.003369003,1.028126,-0.001295715,0.000607165,0.983551624,0.96868315,0.998648,6.81185E-05,0.000778127,1.000442868,0.990574137,1.010410
Warm Female,0.00660404,0.006743851,1.006625895,0.993407916,1.020020,0.18555189,0.07759626,1.018728406,1.003351927,1.034341,-0.001327473,0.000757024,0.98315189,0.964655851,1.002003,0.000263857,0.000975793,1.001716542,0.989340685,1.014247
Warm Male,0.005785024,0.007150397,1.00580179,0.991804018,1.019997,0.12363325,0.08273825,1.012440067,0.996154043,1.028992,-0.00126683,0.00080846,0.983915338,0.964159956,1.004076,-0.000145323,0.001028616,0.999055846,0.986049062,1.012234
Cold All,0.009019462,0.008091397,1.00906026,0.993183661,1.025191,0.151821113,0.05749867,1.015297945,1.003920035,1.026805,0.001669719,0.000935406,1.021602429,0.997907131,1.045860,0.000905026,0.000890986,1.005900006,0.994546432,1.017383
Cold Female,0.002927325,0.009206832,1.002931614,0.984995639,1.021194,0.14954732,0.06561048,1.015067114,1.002097274,1.028205,0.00142354,0.00106302,1.018388333,0.991587848,1.045913,0.000773115,0.001012969,1.005037895,0.992150988,1.018092
Cold Male,0.015741816,0.009552602,1.015866371,0.997023156,1.035066,0.15463483,0.06775005,1.015583661,1.002186861,1.029160,0.001931005,0.001106699,1.025024858,0.99695664,1.053883,0.001058462,0.001053018,1.006903725,0.993485863,1.020503
Age 0-10 All,0.012927042,0.007845285,1.013010957,0.997553282,1.028708,0.183249367,0.06634952,1.018493869,1.005334609,1.031825,-0.000715521,0.000902608,0.990883144,0.968697108,1.013577,0.001356443,0.000973645,1.008855863,0.996419069,1.021448
